"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Products","Product Listing","0","0","4","0","0"
"","Cart","Cart State","0","0","2","0","0"
"","Cart","Add Items","0","0","2","0","0"
"","Checkout","Order Completion","0","0","2","0","0"
"","Purchase Flow","Single Item Purchase","0","0","2","0","0"
"","Products","Add to Cart","0","0","2","0","0"
"","Checkout","Customer Info","0","0","2","0","0"
"","Authentication","Login Page UI","0","0","2","0","0"
"","Authentication","Valid Login","0","0","2","0","0"
"","Purchase Flow","Multi-Item Purchase","0","0","2","0","0"
"","Cart","Navigation","0","0","2","0","0"
"","Checkout","Order Overview","0","0","2","0","0"
